dateActivity,productId,cost,userId
2018-12-11,specialpack2_0,0.998,kpkm48fyqs5vmvi
2018-12-13,specialpack1_0,0.398,h34nqrrkvtc4yjg
2018-12-10,specialpack3_0,1.198,hwp6ael7l3wa34s
2018-12-12,scratcherspack1,0.398,rptbdzhs2xiofqi
2018-12-10,coinpack001,0.398,ab0he7nideyvg16
2018-12-12,coinpack001,0.398,amzyqqvz7wq4w8a
2018-12-08,specialpack2_0,0.998,2aea0l606692bav
2018-12-09,coinpack001,0.398,4ruidt1nw1xjqq8
2018-12-11,specialpack1_2,0.598,tj84myjnvxzrh3n
2018-12-09,coinpack001,0.398,50mt3nmauylnlwr
2018-12-11,specialpack,0.198,bumevenc23o9k3f
2018-12-13,specialpack,0.198,403kug9ciiy9hnk
2018-12-12,specialpack1_0,0.398,r0ple0sgpdv3iuz
2018-12-12,specialpack1_0,0.398,2ocm1yvag6xwuqv
2018-12-09,specialpack1_2,0.598,mwi1apkqeg9e8n1
2018-12-12,specialpack1_3,0.798,bzjsd86jke7i19i
2018-12-10,coinpack001,0.398,4r9hg3qmawnb4l6
2018-12-08,specialpack1_0,0.398,4zawy8umom9oa30
2018-12-07,specialpack1_3,0.798,e70sar586pi06gg
2018-12-12,scratcherspack1,0.398,sxhxu8jx95r1u55
2018-12-07,goldenspin,0.198,ssdwifu4tjv88fu
2018-12-12,coinpack001,0.398,7qb2qflctz6xwo6
2018-12-09,poolcash001,0.398,qdtj041zpw095ts
2018-12-12,specialpack12_0,2.998,m94levwpwq7ovnp
2018-12-08,specialpack9_0,1.998,jprlkkg8rd4bgkl
2018-12-12,poolcash003,1.998,v7uytvkpxo53yaq
2018-12-09,specialpack,0.198,hl5i7ifnq58tsqz
2018-12-13,goldenspin,0.198,n2hi6bptye2aiuw
2018-12-12,goldenspin,0.198,w5yhmoff8wmuxky
2018-12-12,poolcash001,0.398,ppfnibrnyr4mslk
2018-12-09,specialpack1_2,0.598,e4asrzop7d1moka
2018-12-09,specialpack1_2,0.598,kbhafn74uu0c0df
2018-12-10,specialpack1_3,0.798,4fb87niwajd5hak
2018-12-10,goldenspin,NA,8yh4e4yimm4i60w
2018-12-13,specialpack1_2,0.598,7tozwja1q36qngj
2018-12-13,goldenspin,0.198,85uukb26a6td0po
2018-12-12,goldenspin,0.198,m3ccv94fbg0jwaq
2018-12-11,specialpack1_3,0.798,0j540trpgzcdrno
2018-12-12,goldenspin,0.198,v4iyrqlgsgcas0i
2018-12-12,specialpack1_2,0.598,w9ertj3wpbxoyhm
2018-12-10,specialpack49_0,9.998,qdzkmpk43uvjqpx
2018-12-09,goldenspin,0.198,x1hqkdvegll29bo
2018-12-13,coinpack001,0.398,5lokcgt9em6didx
2018-12-13,coinpack004,3.998,qyn4ksr3ta5cfdj
2018-12-13,coinpack001,0.398,11abd52vyzpj4im
2018-12-10,coinpack001,0.398,i3vp76j6xpw19ud
2018-12-11,coinpack001,0.398,tgedgdjpgiwo6z9
2018-12-09,specialpack1_2,0.598,tcalft0kbmwokdq
2018-12-07,coinpack001,0.398,6kqdfuth3k0a6rm
2018-12-10,specialpack2_0,0.998,wukvpjivuhhy55w
2018-12-07,specialpack1_2,0.598,0dmxrap0oxsopf7
2018-12-11,specialpack1_0,0.398,jonbrr8m0ukklhw
2018-12-07,coinpack004,3.998,5yrkqz02d7i6il7
2018-12-09,poolcash003,1.998,nll2yk1art3b8ik
2018-12-11,specialpack,0.198,48n56hu22ysnoh7
2018-12-13,specialpack,0.198,e70sar586pi06gg
2018-12-07,coinpack001,0.398,p4gc5qfbvkoq5i6
2018-12-10,specialpack1_3,0.798,s746q1sejke9gzi
2018-12-10,coinpack004,3.998,5esep6c25ynbjyn
2018-12-12,goldenspin,0.198,z8n816pzmsgznxn
2018-12-13,specialpack2_0,0.998,s4j0imje90ge7xy
2018-12-07,goldenspin,0.198,dly38ufiht9kg8b
2018-12-11,specialpack,0.198,ojb2fbbly0v49bh
2018-12-10,goldenspin,0.198,havvobjah1fdqj4
2018-12-07,specialpack,0.198,0yefkydpj2ceaka
2018-12-07,specialpack1_0,0.398,ef8rktw0u1wfr76
2018-12-13,goldenspin,0.198,cmtkqjtem56zexr
2018-12-12,specialpack1_0,0.398,n76xocfz3p2ki4e
2018-12-12,goldenspin,0.198,3s8lza3tc52val2
2018-12-11,coinpack003,1.998,vngq5z4o6l3k86l
2018-12-08,specialpack,0.198,vjzfqb7cfff1pch
2018-12-07,coinpack001,0.398,qqup4qogyuv788m
2018-12-10,specialpack1_3,0.798,ktwc4dleatd47ob
2018-12-07,poolcash001,0.398,cf4li3sl8k4r6el
2018-12-08,specialpack2_0,0.998,bid4kuc402hlwar
2018-12-11,specialpack1_3,0.798,i0imeszf4o01llg
2018-12-09,specialpack9_0,1.998,ewt54hlmrrlj63h
2018-12-11,specialpack19_0,3.998,shacqitvzjsp54q
2018-12-07,coinpack001,0.398,i3omzxl1jsj1oq8
2018-12-12,specialpack2_0,0.998,jpcyx96sreb7ubj
2018-12-13,specialpack1_0,0.398,9m99c8x3kivmaa9
2018-12-12,coinpack001,0.398,0xvm7zbnq2rpydx
2018-12-12,specialpack9_0,1.998,p3g64pxbyespnn4
2018-12-11,coinpack003,1.998,9r8iqjjtolep60t
2018-12-09,coinpack001,0.398,vipiyddp0g3jey0
2018-12-12,goldenspin,0.198,imjuxq5i1ffmla9
2018-12-08,specialpack9_0,1.998,5kjcgi7srjx67d0
2018-12-09,specialpack,0.198,vjzfqb7cfff1pch
2018-12-13,specialpack1_0,0.398,ptc3doa7df8yyj9
2018-12-07,coinpack001,0.398,n6cwpa1eeih7ppm
2018-12-13,goldenspin,0.198,pln54ylkyau2hug
2018-12-09,goldenspin,0.198,cryq2oe31ur1u6g
2018-12-10,coinpack001,0.398,vz1lwvlmoqv9nkh
2018-12-10,coinpack001,0.398,i3vp76j6xpw19ud
2018-12-07,poolcash001,0.398,uxh2zxe65v40e7p
2018-12-13,coinpack001,0.398,k77483sm4brtiqj
2018-12-10,scratcherspack1,0.398,94q4ioyfj6bgayu
2018-12-10,coinpack002,0.998,wzrrppfl9315lbe
2018-12-07,specialpack12_0,2.998,4vzqx2pmgcushhe
2018-12-11,goldenspin,0.198,mnvk3u4lljzgzig
2018-12-11,specialpack1_2,0.598,nyljtr9hpnkxljs
2018-12-10,goldenspin,0.198,7uttzjty5e43yai
2018-12-07,specialpack1_0,0.398,1pa0y6gco7jh8d0
2018-12-13,goldenspin,0.198,s00sezl6tx9ptyq
2018-12-07,specialpack1_0,0.398,7ufsmrm3xlvh8qe
2018-12-07,specialpack19_0,3.998,6jgt09sic2s6cz5
2018-12-12,specialpack1_3,0.798,5tqjwfz24z383tr
2018-12-12,goldenspin,0.198,10n43b0mnk7zfxn
2018-12-09,goldenspin,0.198,up5ihz1rfd8z6k2
2018-12-08,specialpack2_0,0.998,m491pi9k8uo3k05
2018-12-12,specialpack2_0,0.998,ocn6wyjhb09jlmu
2018-12-08,specialpack12_0,2.998,n74s9utinm5ddsn
2018-12-07,specialpack1_3,0.798,mwq5mbl2twojwyg
2018-12-10,specialpack2_0,0.998,naxyvo694nlp7of
2018-12-11,specialpack,0.198,1a6asz8m36pgqhv
2018-12-09,specialpack2_0,0.998,qe158kx5fnwtgoc
2018-12-10,specialpack1_2,0.598,rfrqjdmneb1msrj
2018-12-07,specialpack12_0,2.998,m8ofpgrhrybkw13
2018-12-11,specialpack1_3,0.798,zmzdcqtwplu3z9f
2018-12-11,coinpack002,0.998,iavazwyt8pddlyj
2018-12-11,specialpack1_2,0.598,5m5rs6qlk92mgjy
2018-12-10,specialpack9_0,1.998,9xws10lyxpdygu1
2018-12-10,specialpack1_0,0.398,kxz0ipj4hfiayye
2018-12-07,specialpack1_2,0.598,eq7vxnd47o5xm3u
2018-12-10,specialpack2_0,0.998,2wl2ayngbboxd6u
2018-12-13,specialpack1_0,0.398,m8eo60em8yv8d79
2018-12-07,specialpack,0.198,xl3nss0ueh2bhwn
2018-12-13,goldenspin,0.198,iebh7f2xgwb8id4
2018-12-10,coinpack002,0.998,yw5k9wxt8uwjah0
2018-12-13,coinpack001,0.398,l2ied0e7klwqvj9
2018-12-11,specialpack1_3,0.798,1q7qsz6mblx150s
2018-12-07,specialpack1_0,0.398,r4xkz0cl4o52ib1
2018-12-10,goldenspin,0.198,bvwmbhsf2jkfqak
2018-12-09,specialpack1_0,0.398,oa9pkyub723wyoz
2018-12-12,specialpack1_2,NA,6egrf0373bui4hp
2018-12-07,goldenspin,0.198,25ljrty45rt6zec
2018-12-08,specialpack,0.198,szpxlaiv29e7urw
2018-12-10,coinpack001,0.398,c8khanw0w51uq5s
2018-12-08,coinpack003,1.998,s29btiw0wqas213
2018-12-12,specialpack2_0,0.998,028bhgru285z168
2018-12-11,coinpack002,0.998,z1ihteh9v95yhnf
2018-12-11,specialpack1_2,0.598,tljwhklixqib1sy
2018-12-13,specialpack1_0,0.398,qltrxzx9y15babb
2018-12-11,coinpack001,0.398,0gwai7a37u49dh3
2018-12-09,specialpack12_0,2.998,uq2v401ilkm1clg
2018-12-13,specialpack1_0,0.398,a429uv5nln6jmlw
2018-12-12,specialpack1_3,0.798,j4y5xl9ltnmkrh9
2018-12-07,specialpack2_0,0.998,ccp5q17y068bl3w
2018-12-12,poolcash002,0.998,r116ogp6syzru14
2018-12-08,goldenspin,0.198,rj25aw50eijqqyl
2018-12-12,specialpack2_0,0.998,juav4tr8gtosrng
2018-12-07,coinpack001,0.398,h42li3pxj2l7kie
2018-12-12,specialpack2_0,0.998,sundc2ne8gv3h5d
2018-12-08,goldenspin,0.198,s6cjxpto0snfrzi
2018-12-12,specialpack2_0,0.998,7kavwen43sfsqmx
2018-12-07,specialpack1_2,0.598,tauqo8ko9jbp05e
2018-12-10,specialpack,0.198,t3mno106atc4lxv
2018-12-10,coinpack001,0.398,s9uazc9wvvij9sp
2018-12-09,specialpack1_2,0.598,3qpc7nhkxw7z93g
2018-12-09,scratcherspack1,0.398,i9jtw5th4m6fgaq
2018-12-07,specialpack4_0,1.398,tzaw63oa5judn0x
2018-12-12,poolcash002,0.998,vp7ok9il4g6hkri
2018-12-11,coinpack004,3.998,oqfw1n0xoo1trfm
2018-12-10,specialpack1_3,0.798,ow8q2twhpr9yxuy
2018-12-09,specialpack1_0,0.398,zlj3ad9zqnmofby
